text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
There's 	"[""There's""]"	[18.97]	[0.176]
nothing to tell. 	['nothing', 'to', 'tell.']	[19.178, 19.476, 19.668]	[0.244, 0.17, 0.572]
Just some guy I work 	['Just', 'some', 'guy', 'I', 'work']	[20.85, 21.316, 21.572, 21.748, 21.908]	[0.412, 0.218, 0.154, 0.138, 0.234]
with. Come on, 	['with.', 'Come', 'on,']	[22.196, 22.9, 23.316]	[0.554, 0.362, 0.458]
you're going out with the guy. 	"[""you're"", 'going', 'out', 'with', 'the', 'guy.']"	[23.892, 24.362, 24.548, 24.772, 24.884, 25.028]	[0.422, 0.164, 0.186, 0.106, 0.122, 0.186]
There's got to be something wrong with 	"[""There's"", 'got', 'to', 'be', 'something', 'wrong', 'with']"	[25.252, 25.434, 25.524, 25.668, 25.828, 26.116, 26.372]	[0.166, 0.084, 0.122, 0.138, 0.234, 0.218, 0.154]
him. All right, 	['him.', 'All', 'right,']	[26.548, 27.81, 28.148]	[0.572, 0.316, 0.138]
joey, be nice. 	['joey,', 'be', 'nice.']	[28.308, 28.698, 28.932]	[0.358, 0.196, 0.588]
So does he have a hump? A 	['So', 'does', 'he', 'have', 'a', 'hump?', 'A']	[30.01, 30.412, 30.588, 30.684, 30.828, 30.924, 31.138]	[0.364, 0.154, 0.09, 0.122, 0.09, 0.182, 0.1]
hump and a hairpiece. 	['hump', 'and', 'a', 'hairpiece.']	[31.244, 31.458, 31.564, 31.708]	[0.182, 0.1, 0.122, 0.842]
	[]	[]	[]
Wait, does he eat 	['Wait,', 'does', 'he', 'eat']	[34.41, 34.876, 35.068, 35.228]	[0.412, 0.17, 0.138, 0.234]
chalk? 	['chalk?']	[35.516]	[0.714]
Just because I don't want her to go through 	"['Just', 'because', 'I', ""don't"", 'want', 'her', 'to', 'go', 'through']"	[36.97, 37.372, 37.548, 37.708, 37.868, 38.028, 38.188, 38.348, 38.508]	[0.364, 0.154, 0.138, 0.138, 0.138, 0.138, 0.138, 0.138, 0.138]
what I went through with 	['what', 'I', 'went', 'through', 'with']	[38.668, 38.828, 38.924, 39.068, 39.292]	[0.138, 0.09, 0.122, 0.186, 0.154]
Carl okay, everybody 	['Carl', 'okay,', 'everybody']	[39.468, 40.434, 40.812]	[0.79, 0.34, 0.298]
relax. Relax. 	['relax.', 'Relax.']	[41.18, 42.57]	[0.73, 0.504]
This is not even a date. 	['This', 'is', 'not', 'even', 'a', 'date.']	[43.122, 43.308, 43.484, 43.648, 43.808, 43.968]	[0.164, 0.15, 0.142, 0.138, 0.138, 0.378]
It's not? It's just two people going out 	"[""It's"", 'not?', ""It's"", 'just', 'two', 'people', 'going', 'out']"	[44.448, 44.758, 44.992, 45.174, 45.328, 45.552, 45.792, 45.968]	[0.278, 0.196, 0.166, 0.132, 0.186, 0.202, 0.154, 0.138]
